sampler_label,aggregate_report_count,average,aggregate_report_median,aggregate_report_90%_line,aggregate_report_min,aggregate_report_max,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth
BYX--LandingPage,100,356,294,498,179,1354,0.0,0.4923028450181413,10.894142734594613
BYX--ClickCheckoutButton,100,802,101,386,0,30508,0.3,0.4932231144080336,4.123027338740703
BYX--Signinform,70,1184,641,1024,273,30504,0.5571428571428572,0.34813573314898716,4.372289514649054
BYX--DeliveryInfo,31,555,589,663,352,841,0.0,0.28674498196281567,1.4779145661825919
BYX--Deliveryform,31,376,370,400,338,481,0.0,0.2868962453610728,0.20116357829028347
BYX--Pricedetails,31,233,229,239,223,300,0.0,0.2871753066291177,0.3679433616185571
BYX--Reviewsubmit,31,514,515,588,434,599,0.0,0.28636884306987404,6.672148666999225
BYX--Reviewsubmitform,31,2754,838,966,739,30504,0.06451612903225806,0.22480384051980448,0.2509780779996809
BYX--CheckoutSuccess,29,294,379,400,174,430,0.0,0.2666544066939451,4.153050793641672
BYX--Signout,29,320,188,400,160,2401,0.0,0.26461785531790644,5.784871030161873
TOTAL,483,733,370,837,0,30508,0.14699792960662525,2.339674189470013,29.024198734250795
