sampler_label,aggregate_report_count,average,aggregate_report_median,aggregate_report_90%_line,aggregate_report_min,aggregate_report_max,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth
BYX--LandingPage,860,697,625,846,356,5417,0.0,0.8268872981457533,18.396558825279193
BYX--ClickCheckoutButton,858,364,121,357,78,30584,0.005827505827505828,0.828155751194214,9.439926644753035
BYX--Signinform,853,1055,938,1127,610,30504,0.0035169988276670576,0.8228245550911425,14.192617648597967
BYX--DeliveryInfo,848,602,614,722,322,1101,0.0,0.8197497829789785,4.225429158768036
BYX--Deliveryform,847,397,386,450,148,829,0.0,0.8200482928085541,0.5750051994280962
BYX--Pricedetails,846,241,230,284,31,679,0.0,0.8197515552024185,1.0502404416823317
BYX--Reviewsubmit,846,601,541,660,399,30502,0.001182033096926714,0.8195149169151367,19.079173679101306
BYX--Reviewsubmitform,844,983,877,1021,718,30503,0.002369668246445498,0.817553770627734,0.8365695089010683
BYX--CheckoutSuccess,841,309,269,450,168,761,0.0,0.8163518874618639,12.824357646152226
BYX--Signout,840,452,303,495,152,30540,0.002380952380952381,0.8162281707549333,17.807320040818695
TOTAL,8483,570,465,917,31,30584,0.0015324767181421667,8.155805399002805,97.8467763843862
