sampler_label,aggregate_report_count,average,aggregate_report_median,aggregate_report_90%_line,aggregate_report_min,aggregate_report_max,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth
SLX--Landing Page,611,355,269,435,184,30768,0.0016366612111292963,0.6555196146274214,5.233830605577817
SLX--Signinform,609,719,677,842,509,3805,0.0,0.6557850145048015,12.881306277445518
SLX--Ticketdetailsform,609,420,310,425,205,30530,0.003284072249589491,0.6559983454623011,6.0069550618916665
SLX--Seatmapdata,607,100,93,124,48,530,0.0,0.6539397987546056,4.483595155580034
SLX--SeatmapSWF,607,210,209,212,6,552,0.0,0.6538256881326868,1.259763752622843
SLX--Pricingform,606,1067,820,1047,586,30777,0.0049504950495049506,0.6533685677966924,22.325107541999955
SLX--TicketPaymentForm,602,682,557,711,396,30510,0.0016611295681063123,0.6491769902343076,21.978538826741996
SLX--Ticketreviewform,599,785,651,787,454,30509,0.00333889816360601,0.647280664786419,6.090653399574243
SLX--Signout,596,333,310,461,171,1046,0.0,0.6453736670218387,13.341757376656206
TOTAL,5446,519,405,802,6,30777,0.0016525890561880279,5.838912071087629,93.05579639306997
